unique_key,created_date,closed_date,complaint_type,descriptor,borough,latitude,longitude
1,2025-01-01 10:00:00,2025-01-01 12:00:00,Noise,Loud Music,MANHATTAN,40.7580,-73.9855
2,2025-01-01 11:00:00,2025-01-01 13:00:00,Street Condition,Pothole,BROOKLYN,40.6782,-73.9442
3,2025-01-01 12:00:00,2025-01-01 14:00:00,Illegal Parking,Blocked Driveway,QUEENS,40.7282,-73.7949
4,2025-01-02 09:00:00,2025-01-02 15:00:00,Water System,Leaking Hydrant,BRONX,40.8448,-73.8648
5,2025-01-02 14:00:00,,Sanitation,Missed Collection,STATEN ISLAND,40.5795,-74.1502
6,2025-01-03 08:30:00,2025-01-03 10:30:00,Traffic Signal Condition,Signal Not Working,MANHATTAN,40.7589,-73.9851
7,2025-01-03 16:45:00,2025-01-03 18:00:00,Street Light Condition,Light Out,BROOKLYN,40.6501,-73.9496
8,2025-01-04 11:00:00,2025-01-04 13:30:00,Graffiti,Offensive Graffiti,QUEENS,40.7489,-73.8867
9,2025-01-04 13:00:00,,Noise,Car/Truck Horn,MANHATTAN,40.7527,-73.9772
10,2025-01-05 10:15:00,2025-01-05 12:45:00,Sidewalk Condition,Broken Sidewalk,BRONX,40.8679,-73.8793
